reference,doi,title,year,type,journal,authors
hal-02117373,10.1007/978-981-33-4232-3_18,Designing a Multilingual Large-Scale Placement Test with a Formative Perspective: A Case Study at the University of Grenoble Alpes,2021,Chapitre d'ouvrage,,Cristiana Cervini; Monica Masperi
hal-02123305,10.1007/jhep01(2020)051,Fluctuations of anisotropic flow in Pb+Pb collisions at $ \sqrt{{\mathrm{s}}_{\mathrm{NN}}} $ = 5.02 TeV with the ATLAS detector,2020,Article,JHEP,Morad Aaboud; Georges Aad; Brad Abbott; Dale Charles Abbott; Ovsat Abdinov; Adam Abed Abud et al.
hal-02123356,10.1016/j.nima.2019.162390,Development of Spherical Proportional Counter for light WIMP search within NEWS-G collaboration,2020,Communication,,Ali Dastgheibi-Fard; Gilles Geribier
hal-02123922,10.1109/tgrs.2019.2936486,Nonlocal Coupled Tensor CP Decomposition for Hyperspectral and Multispectral Image Fusion,2020,Article,IEEE Transactions on Geoscience and Remote Sensing,Yang Xu; Zebin Wu; Jocelyn Chanussot; Pierre Comon; Zhihui Wei
hal-02124064,10.1021/acscentsci.8b00955,Chasing Aqueous Biphasic Systems from Simple Salts by Exploring the LiTFSI/LiCl/H2O Phase Diagram,2019,Article,ACS Central Science,Nicolas Dubouis; Chanbum Park; Michael Deschamps; Soufiane Abdelghani-Idrissi; Matej Kanduč; Annie Colin et al.
hal-02125326,10.1137/19m1289595,Fourier Analyses of High-Order Continuous and Discontinuous Galerkin Methods,2020,Article,SIAM Journal on Numerical Analysis,Daniel Le Roux; Christopher Eldred; Mark Taylor
hal-02129220,10.1149/2.0891908jes,Controlled Protective Layer Based on Biphenyl Derivatives for Li-S Battery,2019,Article,Journal of The Electrochemical Society,Valentin Vinci; Fannie Alloin; Jacques Guindet; Jean-Claude Leprêtre
hal-02133378,10.1002/aenm.201803674,Synthesis and Electrochemical Activity of Some Na(Li)‐Rich Ruthenium Oxides with the Feasibility to Stabilize Ru 6+,2019,Article,Advanced Energy Materials,Misae Otoyama; Quentin Jacquet; Antonella Iadecola; Matthieu Saubanère; Gwenaelle Rousse; Jean‐marie Tarascon
hal-02133692,10.4000/danse.3037,Danse(s) et populaire(s),2020,Autre,Recherches en Danse,Laura Fanouillet; Sarah Andrieu; Betty Lefevre
hal-02063156,10.1097/pts.0000000000000525,Double reading of outsourced CT/MR radiology reports,2021,Article,Journal of Patient Safety,Jean-François Vendrell; Julien Frandon; Bastien Boussat; François Cotton; Gilbert R. Ferretti; Nicolas Sans et al.
hal-02001020,10.1016/j.electacta.2018.11.122,Investigation of ion transport in chemically tuned pillared graphene materials through electrochemical impedance analysis,2019,Article,Electrochimica Acta,Harish Banda; Sandy Périé; Barbara Daffos; Lionel Dubois; Olivier Crosnier; Patrice Simon et al.
hal-02135683,10.1016/j.ensm.2018.08.022,Synthesis of T-Nb2O5 thin-films deposited by atomic layer deposition for miniaturized electrochemical energy storage devices,2019,Article,Energy Storage Materials,Saliha Ouendi; Cassandra Arico; Florent Blanchard; Jean-Louis Codron; Xavier Wallart; Pierre-Louis Taberna et al.
hal-00413693,10.1016/j.spl.2020.108726,"Asymptotic near-efficiency of the ""Gibbs-energy (GE) and empirical-variance"" estimating functions for fitting Matérn models - II: Accounting for measurement errors via ""conditional GE mean",2020,Article,Statistics and Probability Letters,Didier A. Girard
hal-02138390,10.1016/j.jfluchem.2019.05.007,Synthesis and optimized formulation for high-capacity manganese fluoride (MnF2) electrodes for lithium-ion batteries,2019,Article,Journal of Fluorine Chemistry,Antonin Grenier; Ana-Gabriela Porras-Gutierrez; Antoine Desrues; Sandrine Leclerc; Olaf Borkiewicz; Henri Groult et al.
hal-02140703,10.1007/978-3-030-43465-6_6,Stochastic methods for solving high-dimensional partial differential equations,2020,Communication,,Marie Billaud Friess; Arthur Macherey; Anthony Nouy; Clémentine Prieur
hal-02144200,10.1016/j.physletb.2020.135227,Exploration of jet substructure using iterative declustering in pp and Pb–Pb collisions at LHC energies,2020,Article,Phys.Lett.B,Shreyasi Acharya; Dagmar Adamova; Souvik Priyam Adhya; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal et al.
hal-02145610,10.1109/tse.2019.2915303,Debugging of Behavioural Models using Counterexample Analysis,2021,Article,IEEE Transactions on Software Engineering,Gianluca Barbon; Vincent Leroy; Gwen Salaün
hal-02148038,10.1007/s10107-022-01804-9,How many matchings cover the nodes of a graph?,2024,Article,Mathematical Programming,Dehia Ait Ferhat; Zoltán Király; András Sebő; Gautier Stauffer
hal-01337197,10.1007/s10884-019-09769-8,Stochastic modelling of thermal effects on a ferromagnetic nano particle,2020,Article,Journal of Dynamics and Differential Equations,Stéphane Labbé; Jérôme Lelong
hal-02150887,10.1007/s00209-023-03373-9,Effective algebraic independence of values of E-functions,2023,Article,Mathematische Zeitschrift,S. Fischler; Tanguy Rivoal
hal-02157123,10.1080/00207179.2019.1628296,A new approach to design set-membership state estimators for discrete-time linear systems based on the observability matrix,2020,Article,International Journal of Control,Nacim Meslem; Nacim Ramdani
hal-02157591,10.1016/j.ejtd.2019.05.002,Perspectives about the PTSD prevalence rate in the case of multiple traumatic events exposure among mountain workers,2020,Article,European Journal of Trauma and Dissociation,Delphine Traber; Emmanuelle Le Barbenchon; Pascal Hot; Sonia Pellissier
halshs-02158447,10.1177/1478929919868600,Between a rock and a hard place: Preference formation in France during the Eurozone crisis,2020,Article,Political Studies Review,Clément Fontan; Sabine Saurugger
hal-02160611,10.1016/j.nima.2020.163799,"Fast neutron spectroscopy from 1 MeV up to 15 MeV with Mimac-FastN, a mobile and directional fast neutron spectrometer",2020,Article,"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",Nadine Sauzet; Daniel Santos; Olivier Guillaudin; Germain Bosson; Joël Bouvier; Thierry Descombes et al.
hal-02160631,10.1103/physrevlett.124.092301,Scattering studies with low-energy kaon-proton femtoscopy in proton-proton collisions at the LHC,2020,Article,Phys.Rev.Lett.,Shreyasi Acharya; Dagmar Adamova; Souvik Priyam Adhya; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal et al.
hal-02161237,10.1016/b978-0-08-102832-2.00015-3,Domain wall pinning in a circular cross-section wire with modulated diameter,2020,Chapitre d'ouvrage,,A. de Riz; B. Trapp; J. A. A Fernandez-Roldan; C. Thirion; J.-C. Toussaint; Olivier Fruchart et al.
hal-02163180,10.1007/s00208-020-01982-x,Bakry-Émery curvature and model spaces in sub-Riemannian geometry,2020,Article,Mathematische Annalen,Davide Barilari; Luca Rizzi
hal-02165018,10.19086/aic.12100,Planar graphs have bounded nonrepetitive chromatic number,2020,Article,Advances in Combinatorics,Vida Dujmović; Louis Esperet; Gwenaël Joret; Bartosz Walczak; David R. Wood
hal-02165504,10.1016/j.physletb.2019.135043,Multiplicity dependence of light (anti-)nuclei production in p-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 5.02 TeV,2020,Article,Phys.Lett.B,Shreyasi Acharya; Dagmar Adamova; Souvik Priyam Adhya; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal et al.
hal-02165716,10.1039/c9ta03760h,SnSb vs. Sn: improving the performance of Sn-based anodes for K-ion batteries by synergetic alloying with Sb,2019,Article,Journal of Materials Chemistry A,Vincent Gabaudan; Romain Berthelot; Moulay Tahar Sougrati; Pierre-Emmanuel Lippens; Laure Monconduit; Lorenzo Stievano
hal-02165997,10.1007/s10714-020-02737-4,Analytical proof of the isospectrality of quasinormal modes for Schwarzschild-de Sitter and Schwarzschild-Anti de Sitter spacetimes,2020,Article,Gen.Rel.Grav.,Flora Moulin; Aurélien Barrau
hal-02166168,10.1051/proc/202067009,Horizontal gene transfer: numerical comparison between stochastic and deterministic approaches,2020,Article,ESAIM: Proceedings and Surveys,Vincent Calvez; Susely Figueroa Iglesias; Hélène Hivert; Sylvie Méléard; Anna Melnykova; Samuel Nordmann
hal-02166579,10.1016/j.physletb.2019.135103,Combination of searches for Higgs boson pairs in $pp$ collisions at $\sqrt{s} = $13 TeV with the ATLAS detector,2020,Article,Phys.Lett.B,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02167342,10.1016/j.molliq.2019.03.166,"Physicochemical properties and theoretical studies of novel fragile ionic liquids based on N-allyl-N,N-dimethylethylammonium cation",2019,Article,Journal of Molecular Liquids,Rahma Hachicha; Ramzi Zarrougui; Sabri Messaoudi; Steven Le Vot; Olivier Fontaine; Frédéric Favier et al.
hal-01744505,10.3150/19-bej1137,Tail expectile process and risk assessment,2020,Article,Bernoulli,Abdelaati Daouia; Stéphane Girard; Gilles Stupfler
hal-02169378,10.1149/2.0671910jes,Surface Layer Fluorination of TiO 2 Electrodes for Electrode Protection LiBs: Fading the Reactivity of the Negative Electrode/Electrolyte Interface,2019,Article,Journal of The Electrochemical Society,Youn Charles-Blin; Delphine Flahaut; Jean-Bernard Ledeuil; Katia Guérin; Marc Dubois; Nicolas Louvain et al.
hal-02169386,10.1039/c9ta01359h,Redox bucky gels: mixture of carbon nanotubes and room temperature redox ionic liquids,2019,Article,Journal of Materials Chemistry A,E. Mourad; O. Fontaine
inserm-02170142,10.1007/s00380-019-01460-8,Sequential coronary bifurcation revascularization with the Xposition S™ self-apposing stent: a comparative fractal bench study,2019,Article,Heart and Vessels,François Dérimay; Luc Maillard; Gilles Rioufol; Geraud Souteyrand; Adel Aminian; Joëlle Véziers et al.
hal-02091217,10.1186/s13075-019-1867-1,"Survival and prognosis factors in systemic sclerosis data of a French multicenter cohort, systematic review, and meta-analysis of the literature",2019,Article,Arthritis Research and Therapy,M. R. Pokeerbux; J. Giovannelli; L. Dauchet; L. Mouthon; C. Agard; Jean-Christophe Lega et al.
hal-02171814,10.1016/j.nahs.2019.100831,Event-Triggered Stabilizing Controllers for Switched Linear Systems,2020,Article,Nonlinear Analysis: Hybrid Systems,Fairouz Zobiri; Nacim Meslem; Brigitte Bidégaray-Fesquet
hal-02171976,10.1002/rnc.5123,Self-triggered stabilizing controllers for linear continuous-time systems,2020,Article,International Journal of Robust and Nonlinear Control,Fairouz Zobiri; Nacim Meslem; Brigitte Bidégaray-Fesquet
hal-02172143,10.1016/j.ensm.2019.04.010,Stability in water and electrochemical properties of the Na3V2(PO4)2F3 – Na3(VO)2(PO4)2F solid solution,2019,Article,Energy Storage Materials,Long H. B. Nguyen; Thibault Broux; Paula Sanz Camacho; Dominique Denux; Lydie Bourgeois; Stéphanie Belin et al.
hal-01783968,10.5802/afst.1680,Level sets of certain Neumann eigenfunctions under deformation of Lipschitz domains. Application to the Extended Courant Property,2021,Article,Annales de la Faculté des Sciences de Toulouse. Mathématiques.,Pierre Bérard; Bernard Helffer
hal-02178240,10.1080/19648189.2018.1505665,"New approach to describe hydro-mechanical phenomenon of suffusion: erosion, transport and deposition",2020,Article,European Journal of Environmental and Civil Engineering,Hashem Abdou; Fabrice Emeriault; Olivier Ple
hal-02178569,10.1140/epjc/s10052-020-7606-6,Measurement of long-range two-particle azimuthal correlations in $Z$-boson tagged $pp$ collisions at $\sqrt{s}{=}8$ and 13 TeV,2020,Article,Eur.Phys.J.C,Morad Aaboud; Georges Aad; Brad Abbott; Dale Charles Abbott; Ovsat Abdinov; Baptiste Abeloos et al.
hal-02178658,10.2140/apde.2022.15.1131,A homogenized limit for the 2-dimensional Euler equations in a perforated domain,2022,Article,Analysis & PDE,Matthieu Hillairet; Christophe Lacave; Di Wu
hal-02182286,10.1039/c8qi00982a,Sn(TFSI) 2 as Suitable Salt For the Electrodeposition of Nanostructured Cu 6 Sn 5 - Sn Composite obtained on Cu electrode in Ionic Liquid,2019,Article,Inorganic Chemistry Frontiers,Nadia Soulmi; Ana-Gabriela Porras-Gutierrez; Natalia Mordvinova; Oleg Lebedev; Cécile Rizzi; Juliette Sirieix-Plenet et al.
hal-02185896,10.1007/s11145-019-09968-1,A review of reading prosody acquisition and development,2020,Article,Reading and Writing : an interdisciplinary journal,Erika Godde; Marie-Line Bosse; Gérard Bailly
tel-02185968,10.70675/7ca1e50bza1d0z4d91z8220z02171a9bfb97,Role of Alix in endocytosis at presynaptic boutons,2019,Thèse / HDR,,Kwangil Chi
hal-02187863,10.1080/10586458.2020.1737990,Special hypergeometric motives and their $L$-functions: Asai recognition,2020,Article,Exper.Math.,Lassina Dembélé; Alexei Panchishkin; John Voight; Wadim Zudilin
hal-01613583,10.1016/j.acha.2019.06.001,New results on approximate Hilbert pairs of wavelet filters with common factors,2020,Article,Applied and Computational Harmonic Analysis,Sophie Achard; Marianne Clausel; Irène Gannaz; François Roueff
hal-02191075,10.1016/j.jsc.2019.07.013,Elimination-based certificates for triangular equivalence and rank profiles,2020,Article,Journal of Symbolic Computation,Jean-Guillaume Dumas; Erich L. Kaltofen; David Lucas; Clément Pernet
hal-02193774,10.1007/s00454-022-00399-4,Corrected Curvature Measures,2022,Article,Discrete and Computational Geometry,Jacques-Olivier Lachaud; Pascal Romon; Boris Thibert
hal-02195185,10.1093/ndt/gfy272,"Relative prognostic impact of nutrition, anaemia, bone metabolism and cardiovascular comorbidities in elderly haemodialysis patients",2019,Article,Nephrology Dialysis Transplantation,C. Villain; R. Ecochard; J. L. Bouchet; E. Daugas; T. B. Drueke; T. Hannedouche et al.
